봉구비어에서 치즈감자튀김 2개, 매콤어니언치킨 1마리, 소시지플래터 1개, 감바스 1개 주문할게요.
봉구통닭에서 후라이드치킨 2마리, 양념치킨 1마리, 순살치킨 1마리, 간장치킨 1마리 부탁드려요.
놀부부대찌개에서 부대찌개 2인분, 공깃밥 2개, 불고기추가 1개, 라면사리 1개 주문할게요.
푸라닭에서 고추마요치킨 1마리, 블랙알리오치킨 1마리, 투움바치킨 1마리, 소이갈릭치킨 1마리 주세요.
또래오래에서 간장치킨 1마리, 양념치킨 1마리, 순살치킨 1마리, 후라이드치킨 1마리 부탁드립니다.
삼첩분식에서 떡볶이 2인분, 튀김모둠 1개, 김밥 2줄, 라면 1개 주문할게요.
김가네김밥에서 참치김밥 2줄, 소고기김밥 2줄, 계란말이 1개, 김치볶음밥 1개 주세요.
네네치킨에서 스노윙치킨 1마리, 양념치킨 1마리, 후라이드치킨 1마리, 순살치킨 1마리 부탁드려요.
멕시카나치킨에서 뿌리고치킨 1마리, 양념치킨 1마리, 간장치킨 1마리, 순살치킨 1마리 주문할게요.
땅땅치킨에서 파닭치킨 1마리, 간장치킨 1마리, 양념치킨 1마리, 후라이드치킨 1마리 주세요.
비비큐치킨에서 황금올리브치킨 1마리, 간장치킨 1마리, 핫양념치킨 1마리, 스모크바베큐치킨 1마리 부탁드립니다.
노랑통닭에서 후라이드치킨 1마리, 양념치킨 1마리, 간장치킨 1마리, 순살치킨 1마리 주문할게요.
원할머니보쌈에서 보쌈정식 1인분, 족발정식 1인분, 막국수 1개, 전 1개 추가 부탁드려요.
원할매국밥에서 소머리국밥 1그릇, 돼지국밥 1그릇, 곰탕 1그릇, 육개장 1그릇 주세요.
이삭토스트에서 베이컨포테이토 토스트 2개, 햄치즈토스트 1개, 불갈비토스트 1개, 허니치즈토스트 1개 부탁드립니다.
구들마라탕에서 마라탕 1그릇, 마라샹궈 1개, 꿔바로우 1개, 양꼬치 10개 추가해주세요.
명객양꼬치에서 양꼬치 10개, 꿔바로우 1개, 마라탕 1개, 마파두부 1개 부탁드릴게요.
오늘애김밥에서 참치김밥 2줄, 소고기김밥 2줄, 떡볶이 1개, 튀김모둠 1개 주문할게요.
본만두에서 고기만두 4개, 김치만두 4개, 군만두 4개, 만둣국 1개 부탁드려요.
요거정에서 플레인요거트 2개, 블루베리요거트 1개, 망고요거트 1개, 딸기요거트 1개 주문할게요.
마약갈비에서 마약갈비정식 2인분, 된장찌개 1개, 감자전 1개, 묵은지찜 1개 주세요.
조선양평해장국에서 해장국 2그릇, 순대국 1그릇, 육개장 1그릇, 돼지국밥 1그릇 부탁드립니다.
갈비1번가에서 돼지갈비 2인분, 소갈비 2인분, 된장찌개 1개, 냉면 1개 주문할게요.
